timestamp,base_name,wear,category,uu_keyword,market_hash_name,matched,data_quality_flag,error,cs_lowest_ask_usd,cs_highest_bid_usd,cs_bid_depth,cs_vol24h,cs_asp24h,uu_lowest_ask_cny,uu_lowest_ask_usd,uu_highest_bid_cny,uu_highest_bid_usd,uu_bid_depth,uu_listings,spread_to_cs_lowest_pct,spread_to_cs_bid_pct,profit_margin_pct,instant_exit_margin_pct,cs_liquidity_score,uu_supply_score,demand_score,data_quality_score,risk_score,opportunity_score,recommendation_label
1777375902,Sport Gloves | Hedge Maze,ft,normal,树篱迷宫,★ Sport Gloves | Hedge Maze (Field-Tested),True,ok,,4849.000000,4670.000000,1,2,6939.990000,32998.500000,4619.790000,32200.000000,4508.000000,1,10,0.049615,0.010868,0.049615,0.010868,0.261305,0.416589,0.253634,1.000000,0.451356,0.205480,low_priority
1777375909,Moto Gloves | Turtle,ft,normal,玳瑁,★ Moto Gloves | Turtle (Field-Tested),True,ok,,51.000000,81.000000,1,19,92.726316,563.400000,78.876000,558.000000,78.120000,1,10,-0.353415,0.026928,-0.353415,0.026928,0.574932,0.416589,0.615512,1.000000,0.222949,0.458154,low_priority
1777375917,Sport Gloves | Nocts,ft,normal,夜行衣,★ Sport Gloves | Nocts (Field-Tested),True,ok,,605.920000,595.000000,1,34,763.635000,4158.000000,582.120000,4060.000000,568.400000,1,10,0.040885,0.022126,0.040885,0.022126,0.667446,0.416589,0.722259,1.000000,0.199821,0.490449,low_priority
1777375924,Sport Gloves | Vice,ft,normal,迈阿密风云,★ Sport Gloves | Vice (Field-Tested),True,ok,,93.450000,695.000000,1,40,766.316250,3633.490000,508.688600,3520.000000,492.800000,1,10,-0.816292,0.366258,-0.816292,0.366258,0.693603,0.416589,0.752441,1.000000,0.193281,0.776892,strong_candidate
1777375930,Sport Gloves | Superconductor,ft,normal,超导体,★ Sport Gloves | Superconductor (Field-Tested),True,ok,,2545.060000,2310.000000,1,1,3200.000000,16000.000000,2240.000000,15760.000000,2206.400000,1,10,0.136187,0.031250,0.136187,0.031250,0.194274,0.416589,0.176291,1.000000,0.318114,0.271238,low_priority
1777375937,Sport Gloves | Omega,ft,normal,欧米伽,★ Sport Gloves | Omega (Field-Tested),True,ok,,123.900000,360.000000,1,33,310.394242,1599.000000,223.860000,1540.000000,215.600000,1,10,-0.446529,0.608148,-0.446529,0.608148,0.662654,0.416589,0.716730,1.000000,0.201019,0.760465,strong_candidate
1777375944,Sport Gloves | Amphibious,ft,normal,双栖,★ Sport Gloves | Amphibious (Field-Tested),True,ok,,99.520000,545.000000,1,27,441.618148,2450.000000,343.000000,2410.000000,337.400000,1,10,-0.709854,0.588921,-0.709854,0.588921,0.630557,0.416589,0.679694,1.000000,0.209043,0.743428,strong_candidate
1777375950,Sport Gloves | Slingshot,ft,normal,弹弓,★ Sport Gloves | Slingshot (Field-Tested),True,ok,,419.510000,412.000000,1,22,537.362273,2899.500000,405.930000,2850.000000,399.000000,2,10,0.033454,0.014953,0.033454,0.014953,0.598037,0.447526,0.667953,1.000000,0.360986,0.407992,low_priority
1777375956,Sport Gloves | Scarlet Shamagh,ft,normal,猩红头巾,★ Sport Gloves | Scarlet Shamagh (Field-Tested),True,ok,,232.270000,220.000000,1,37,266.267297,1559.500000,218.330000,1480.000000,207.200000,1,10,0.063848,0.007649,0.063848,0.007649,0.681042,0.416589,0.737946,1.000000,0.346422,0.416996,low_priority
1777375962,Moto Gloves | Finish Line,ft,normal,终点线,★ Moto Gloves | Finish Line (Field-Tested),True,ok,,123.330000,118.000000,2,14,134.866429,849.000000,118.860000,846.000000,118.440000,1,10,0.037607,-0.007235,0.037607,-0.007235,0.573985,0.416589,0.560636,1.000000,0.623186,0.272645,avoid
1777375970,Moto Gloves | Spearmint,ft,normal,薄荷,★ Moto Gloves | Spearmint (Field-Tested),True,ok,,2720.880000,2410.000000,1,0,0.000000,17545.000000,2456.300000,17070.000000,2389.800000,1,10,0.107715,-0.018849,0.107715,-0.018849,0.079685,0.416589,0.044073,1.000000,0.746761,0.021042,avoid
1777375976,Specialist Gloves | Tiger Strike,ft,normal,老虎精英,★ Specialist Gloves | Tiger Strike (Field-Tested),True,ok,,193.340000,191.000000,1,15,209.295333,1359.500000,190.330000,1330.000000,186.200000,2,10,0.015815,0.003520,0.015815,0.003520,0.538042,0.447526,0.598728,1.000000,0.375984,0.336133,low_priority
1777375985,Specialist Gloves | Buckshot,ft,normal,狩鹿,★ Specialist Gloves | Buckshot (Field-Tested),True,ok,,56.420000,53.500000,1,28,59.964643,368.980000,51.657200,353.000000,49.420000,2,10,0.092200,0.035674,0.092200,0.035674,0.636358,0.447526,0.712169,1.000000,0.201405,0.530853,watchlist
